ID,名称,介绍
0,曹操,字孟德。文武兼备的一代奸雄，有杰出的战略眼光和预见能力。扫平黄巾后，又征讨董卓，挟天子以令诸侯。经大小数十战役，统一了北方，奠定了魏国的基础。
1,夏侯惇,字元让，魏前将军，曹操的族弟。征讨吕布时，被曹性射中左眼，他拔箭啖目、鼓勇而战，反倒刺死曹性。深受曹操信任，曹丕继位后，任大将军。
2,张辽,字文远，智勇双全的一代名将，曹操麾下五大将之首。其指挥才能在合淝战役时发挥得淋漓尽致，仅以八百精兵就大破东吴十万大军，威震逍遥津。
3,关羽,字云长。桃园结义后，随大哥刘备征战，同扶汉室。他是武勇忠义的代名词。曾斩颜良、诛文丑。千里寻主，水淹七军，威震华夏。倍受刘备信任，为蜀汉五虎将之首。
4,曹彰,字子文，曹操的三子。曹操很赏识他的勇略，称他为「黄须儿」。与刘备争夺汉中之际，曾经活跃一时。晚年因为受到其兄曹丕的疏远，在失意中死去。
5,曹仁,字子孝，曹操的族弟。自曹操起兵就跟随征战。当战局不利时，就激励部下继续英勇奋战，经常能反败为胜，陈矫称赞他有「鬼神之勇」。后任魏大司马。
6,夏侯渊,字妙才，迎娶曹操之女为妻。是魏国征西将军，善于突袭的勇将。后来驻守定军山时，中了法正之计，被黄忠斩杀。
7,张郃,字俊艾，起初是袁绍部下。官渡之战时，与高览一起投奔曹操。是五大将之一，屡建战功。连诸葛亮也承认他勇猛过人，是蜀国的大患。
8,曹丕,字子桓，曹操的次子。因长子曹昂战死，被立为世子。父亲死后，继任魏王。他逼迫献帝禅让，建立魏王朝而即位称帝。
9,庞德,字令明，马超的心腹猛将。被曹操擒获后降曹，为曹军建功。关羽攻樊城时，他抬棺战关羽，几乎将关羽击败。后被关羽水淹七军，被俘后不降而死。
10,乐进,字文谦。本是曹操麾下的文官，后来转为武将，被列为五大将之一。他与张辽、李典共同把守合淝，抵御东吴进攻，立下了赫赫战功。
11,李典,字曼成，魏破虏将军。从讨伐黄巾军时就跟随曹操，历经百战。性格冷静谨慎，多次制止同僚的胡作非为。与张辽、乐进一起镇守合淝。
12,曹洪,字子廉，曹操的表弟。与兄长曹仁一起投奔曹操。身为曹军的核心大将，转战各地，奋战沙场。曾数次救曹操于危难中。
13,徐晃,字公明。曹操部下五大将之一。原为杨奉部下，被满宠说服后改仕曹操。曾经为了援救樊城，突破敌军的重重包围。连曹操也为他的果敢勇猛而惊叹。
14,于禁,字文则。严谨忠实，在官渡之战中立下大功，甚得曹操的赏识，被推举为五大将之一。但后来却变得贪生怕死，在樊城被关羽水淹七军擒获后，甚至乞求活命。
15,许褚,字仲康。很受曹操信任，与典韦一起统领曹操的近卫军。与马超交战时，单挑不分胜负。后来曹操危难，他拼死护主，被曹操赐名为「虎痴」。
16,典韦,被誉为「古之恶来」的勇将。因其勇猛甚受曹操喜爱，被任命为近卫军统帅。张绣夜袭曹营时，为了让曹操逃脱，他舍命坚守辕门，挺立而死，死后许久仍无人敢近。
17,貂蝉,善于歌舞的绝代佳人，有可爱的面容，又有敢于深入敌穴施展「连环计」的胆量。
18,刘晔,字子阳。受郭嘉推荐，仕奉曹操。在官渡之战时，献投石车图，破了审配土山下射之计。效力于曹氏三代并多次献计。任魏国的太中大夫。
19,司马懿,字仲达，仕奉曹家四代的著名谋臣。以杰出的聪明才智，使诸葛亮六出祁山都无功而返，保住了三秦之地。后来排除异己，掌握实权，为建立晋朝打下基础。
20,荀彧,字文若。有王佐之才，曹操称之为「吾之张良也」，倍受重用，是卓越的战略家。官渡之战中鼓励一度消沉的曹操，最后促使曹军大捷。
21,程昱,字仲德，经荀彧保举辅佐曹操，是曹操的主要军师之一。兖州被夺后，激励垂头丧气的曹操，鼓舞斗志。在仓亭之战时，献「十面埋伏」之计大败袁绍。
22,郭嘉,字奉孝，曹操最信赖的谋臣。平定河北时病殒，年仅三十八岁。曹操大哭曰「天丧吾也」。赤壁大败后，曹操叹息道∶「若奉孝在，决不使吾有此大失也」。
23,贾诩,字文和。年轻时就被比喻为「张良·陈平」的谋士。任曹操的谋臣时，发挥了卓越的才智。曹丕之所以能即位，他有极大的功劳。
24,荀攸,字公达，荀彧之侄。与荀彧一起为曹操效力。擅长军事，经常在战场上献计，击败敌军。赤壁之战中，他与程昱一起担任随军参谋。
25,满宠,字伯宁。被刘晔举荐，效力于曹操。曾说服徐晃降曹。辅佐曹仁力守樊城时，曹仁一度想放弃城池，他力劝曹仁坚守，因而反败为胜。他也曾经大胜呼应蜀军北伐的吴军。
26,夏侯恩,曹操的背剑官，负责掌管曹操的青釭剑。于长阪坡抢夺民财时，死于赵云枪下，青釭剑遂被赵云所夺。
27,文聘,刘表麾下将领。刘琮献荆州投降后，他也不得已降曹。曹操很赏识他的忠义，封他为关内侯。曹丕伐吴大败时，便是他背负曹丕逃脱的。
28,夏侯杰,曹操部将。曹操进攻新野刘备时，他被匹马单枪立于长阪桥上怒喝曹军的张飞吓得落马而死。
29,郭淮,字伯济，魏国行军司马。在曹真、司马懿的节制下统军。后就任雍州刺史，追击反叛魏国的夏侯霸。曾设计救出了被蜀军围困在铁笼山的司马昭。
30,曹安民,曹操之侄。曹操遭到张绣夜袭时和曹操一起逃走，但是没能逃脱因而战死。
31,曹昂,字子修，曹操的长子。张绣夜袭曹营时，他将坐骑让与曹操，使曹操幸免于难，自己却死于乱军之中。
32,空32,
33,空33,
34,空34,
35,空35,
36,空36,
37,空37,
38,空38,
39,空39,
40,空40,
41,空41,
42,空42,
43,空43,
44,空44,
45,空45,
46,空46,
47,空47,
48,空48,
49,空49,
50,空50,
51,空51,
52,空52,
53,空53,
54,空54,
55,空55,
56,空56,
57,空57,
58,空58,
59,空59,
60,空60,
61,空61,
62,空62,
63,空63,
64,空64,
65,空65,
66,空66,
67,空67,
68,空68,
69,空69,
70,空70,
71,空71,
72,空72,
73,空73,
74,空74,
75,空75,
76,空76,
77,空77,
78,空78,
79,空79,
80,空80,
81,空81,
82,空82,
83,空83,
84,空84,
85,空85,
86,空86,
87,空87,
88,空88,
89,空89,
90,空90,
91,空91,
92,空92,
93,空93,
94,空94,
95,空95,
96,空96,
97,空97,
98,空98,
99,空99,
100,======,
101,刘备,字玄德，东汉中山靖王刘胜之后。被曹操认为是当世英雄，招揽了不少英雄豪杰、贤才隐士，后来亲自建立蜀国。献帝逊位后，自立为蜀汉皇帝。
102,张飞,字翼德。与刘备、关羽桃园结义后，随刘备征战，同扶汉室。曾匹马单枪拒曹军于长阪；刘备入川时，他率军出战攻无不克。后被封为车骑将军，是蜀汉五虎将之一。
103,赵云,字子龙。蜀汉五虎将之一，是智勇双全的勇将。长阪坡一战，怀抱阿斗，视曹操百万军如无物；取汉中时，又单枪匹马击溃曹操追兵，被刘备赞为「一身是胆」。
104,诸葛亮,字孔明，号卧龙先生，蜀汉丞相。刘备三顾茅庐请他出仕后，他出计献策使无处立身的刘备建立蜀汉。刘备死后，他又继承遗志，为匡扶汉室鞠躬尽瘁，死而后已。
105,黄忠,字汉升。原为韩玄部下，曾与关羽激战三日不分胜负。归顺刘备后，在汉中战役中建立奇功，成为蜀汉五虎将之一。此后，人们把老当益壮的人都称誉为「老黄忠」。
